LGA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
LGA25990,3400,3061,6462,1100,568,1666,346,718,1068,140,135,268,72,54,125,1652,1474,3123,1467,1326,2792,4.2,3.6,3.9,48.7,48.1,48.4,46.6,46.4,46.5,51,78,133,39,92,136,181,359,540,185,334,525,864,411,1276,25,61,88,33,53,85,924,526,1449,2976,2917,5894,290,330,623,2169,2071,4245,967,1035,1999
LGA26080,1415,1591,3004,396,237,634,234,363,597,55,79,140,19,27,48,697,714,1408,622,787,1417,2.6,3.7,3.1,49.4,44.7,46.9,48.1,43.1,45.4,143,124,275,54,108,159,346,436,784,144,229,371,216,92,307,3,9,14,24,32,53,243,131,375,1252,1454,2703,208,190,396,877,1014,1882,542,585,1127
LGA26170,12243,12921,25169,4763,2423,7185,1754,3585,5339,501,644,1148,246,204,449,7264,6859,14127,4207,5276,9479,3.4,3,3.2,59.3,53.1,56.1,57.3,51.5,54.3,310,461,781,173,459,634,1091,1828,2917,848,1457,2307,3552,1676,5230,118,214,335,167,263,423,3834,2158,5987,12147,12433,24577,1622,1769,3391,8268,8369,16636,4910,5290,10196
LGA26260,6629,7060,13689,2909,1540,4447,869,1882,2752,233,330,567,134,92,233,4152,3848,7996,2111,2800,4909,3.3,2.5,2.9,62.6,54.5,58.4,60.5,53.1,56.7,151,195,348,106,211,316,491,1012,1500,479,745,1221,1836,910,2752,75,128,202,72,114,187,1983,1155,3136,6526,6709,13232,969,1091,2056,4646,4676,9326,2488,2757,5242
LGA26350,43078,48095,91179,22321,17383,39704,6635,10858,17497,1354,1956,3306,1367,1242,2608,31684,31436,63117,9244,14317,23561,4.3,3.9,4.1,73.5,65.4,69.2,70.4,62.8,66.4,6469,6693,13162,1324,2448,3768,14909,16449,31360,3563,4668,8237,3155,1908,5065,186,275,462,453,747,1202,3794,2934,6726,35567,39013,74584,10754,11905,22663,20855,23434,44287,23862,25904,49770
LGA26430,4769,4987,9752,1798,1039,2839,578,1148,1726,172,230,404,100,73,175,2650,2489,5144,1684,2059,3749,3.7,3,3.4,55.6,50,52.7,53.5,48.5,51,113,153,260,54,156,213,391,629,1024,361,581,942,1218,645,1863,31,88,121,53,89,144,1305,822,2129,4468,4572,9039,583,625,1211,3081,3086,6171,1743,1909,3654
LGA26490,14490,15519,30005,6678,3656,10329,2324,4851,7178,609,847,1460,298,250,549,9913,9605,19512,3910,5178,9087,3,2.6,2.8,68.4,61.9,65,66.3,60.3,63.2,970,1190,2158,400,896,1301,3018,3880,6902,1487,1995,3482,3387,1395,4784,71,143,220,192,272,464,3646,1808,5459,14536,15029,29571,2728,2927,5658,8868,9056,17925,7439,7900,15338
LGA26610,8786,8704,17493,4003,1946,5956,1019,2201,3217,327,414,738,203,146,348,5553,4703,10265,2379,3234,5612,3.7,3.1,3.4,63.2,54.1,58.7,60.9,52.4,56.7,89,164,252,74,211,289,481,974,1458,523,769,1290,1993,1114,3106,74,127,197,110,149,258,2178,1384,3559,8496,8356,16852,1184,1248,2434,5820,5761,11584,3311,3321,6628
LGA26670,2559,2491,5052,1097,540,1636,290,667,957,95,123,217,61,41,97,1543,1359,2904,795,920,1716,3.9,2.7,3.3,60.2,54.7,57.5,57.9,53.2,55.6,57,56,108,44,91,125,161,326,491,180,280,455,754,369,1117,25,49,77,46,57,100,817,479,1289,2439,2386,4823,322,291,618,1792,1703,3492,861,861,1721
LGA26700,11629,12771,24402,4983,2958,7939,1631,3466,5096,418,595,1009,239,182,421,7266,7201,14463,3677,4782,8456,3.3,2.6,2.9,62.5,56.4,59.3,60.4,54.9,57.5,265,435,693,207,492,698,1062,1794,2856,869,1514,2387,3272,1766,5036,103,200,302,160,206,365,3531,2171,5701,11638,12403,24037,1616,1824,3442,8157,8543,16695,4442,4994,9435
LGA26730,13732,15392,29122,6195,3417,9611,1958,4602,6551,480,679,1170,298,259,559,8931,8961,17895,3931,5487,9413,3.3,2.9,3.1,65.1,58.2,61.4,62.9,56.5,59.5,462,568,1030,243,551,799,1414,2408,3819,1011,1660,2667,3511,2149,5660,123,211,334,152,259,412,3788,2620,6406,13585,14709,28295,2110,2322,4437,8931,9661,18590,5981,6653,12638
LGA26810,18715,18704,37418,7311,3819,11125,1961,4794,6750,678,813,1491,556,402,954,10498,9824,20325,6977,7557,14536,5.3,4.1,4.7,56.1,52.5,54.3,53.2,50.4,51.8,360,493,854,225,546,777,1345,2348,3689,1175,1980,3154,5433,2685,8119,200,294,496,217,310,525,5850,3292,9143,17168,17635,34809,2923,2940,5864,11543,11745,23286,7490,7813,15304
LGA26890,1654,1635,3289,795,343,1143,167,436,599,38,72,116,35,24,53,1040,868,1913,461,609,1069,3.3,2.5,2.9,63,53.3,58.2,60.9,52,56.5,18,28,47,24,38,57,78,208,284,102,174,271,388,208,599,21,27,53,19,22,36,430,261,689,1603,1564,3173,162,184,342,1202,1160,2362,463,487,952
LGA26980,67925,73823,141753,28980,18710,47689,11432,19203,30629,2078,2754,4830,2516,2182,4696,45007,42842,87851,20119,27957,48082,5.6,5.1,5.3,66.3,58,62,62.5,55.1,58.7,8679,8587,17266,1996,3313,5307,17027,19432,36461,6462,7833,14298,7773,3957,11733,361,527,895,782,1194,1981,8921,5681,14602,65965,71192,137162,12057,12050,24108,43761,48345,92108,30758,31581,62335
LGA27070,88413,91803,180216,41019,22870,63895,12668,23184,35851,3083,4003,7087,3620,3132,6755,60395,53191,113588,23733,34360,58094,6,5.9,5.9,68.3,57.9,63,64.2,54.5,59.3,5597,5555,11159,1110,2511,3626,11837,15550,27387,8267,10306,18573,17374,9515,26883,686,1011,1701,1156,1801,2958,19216,12325,31538,93028,95004,188033,14246,14132,28382,59120,61128,120252,41003,41448,82451
LGA27170,16554,17611,34168,7999,4567,12569,2019,4780,6801,560,774,1339,494,416,914,11079,10540,21619,4678,6267,10946,4.5,4,4.2,66.9,59.8,63.3,63.9,57.5,60.6,387,530,919,275,612,881,1370,2332,3701,1426,2064,3483,4853,3031,7884,181,310,488,216,356,569,5243,3696,8945,16247,17255,33501,3307,3322,6635,9774,10388,20166,8695,9041,17732
LGA27260,108912,108391,217297,53899,30581,84484,16410,25670,42078,4313,4790,9105,4784,5157,9945,79408,66202,145609,23191,36187,59380,6,7.8,6.8,72.9,61.1,67,68.5,56.3,62.4,12372,11237,23610,1697,3060,4758,19338,22776,42117,10753,11837,22588,17143,10274,27417,798,1055,1848,1280,1732,3009,19217,13058,32277,111655,111396,223053,24542,23744,48280,58697,59262,117964,66417,65441,131860
LGA27350,38829,40813,79646,20740,17222,37964,5964,9082,15045,1243,1762,3004,1192,1038,2238,29144,29103,58248,7269,9495,16765,4.1,3.6,3.8,75,71.3,73.1,72,68.8,70.3,5864,6829,12696,1501,2353,3853,13282,14246,27528,2855,3222,6081,3281,1831,5115,202,258,464,329,446,777,3812,2541,6356,29617,31151,60768,10827,11481,22308,16465,17710,34179,22516,23512,46032
LGA27450,60986,64028,125012,30136,15479,45613,8439,19581,28017,2286,3365,5657,1502,1407,2908,42362,39835,82198,16331,22005,38341,3.5,3.5,3.5,69.5,62.2,65.8,67,60,63.4,2267,2938,5210,1091,2583,3671,7190,10833,18027,5473,8503,13976,18319,8516,26832,489,931,1421,852,1362,2214,19662,10802,30464,65420,67160,132581,6818,7196,14010,46571,47413,93983,21692,23301,44991
LGA27630,2707,2737,5439,1029,453,1480,286,666,956,82,115,195,48,25,77,1444,1267,2708,1045,1222,2270,3.3,2.3,2.8,53.3,46.3,49.8,51.6,45.2,48.4,21,48,73,24,61,86,124,280,400,169,280,450,674,377,1048,23,34,62,33,49,80,732,454,1188,2706,2625,5328,255,260,519,2059,1973,4024,770,793,1558
LGA29399,1843,1890,3729,589,402,995,531,662,1190,150,125,274,7,14,26,1278,1205,2487,166,232,390,0.7,1.2,0.9,69.4,63.7,66.6,68.9,63,65.9,89,111,201,42,68,111,373,436,806,122,155,282,318,137,457,12,7,26,15,23,32,350,167,518,1279,1197,2478,407,477,880,936,865,1800,721,768,1488
LGA29799,493,72,565,131,22,147,7,0,7,11,0,13,4,0,4,151,22,174,7,0,9,1.3,0,1.2,30.5,29.2,30.4,30.1,29.2,30,3,0,3,3,0,3,16,3,19,21,3,32,68,6,73,8,0,8,8,0,8,80,6,86,135,20,154,25,4,28,91,11,105,60,12,71
LGA30250,408,426,833,55,25,85,30,34,64,6,7,12,11,18,23,106,80,185,257,306,561,10.5,18.1,13.8,25.7,19.6,22.6,23,16.1,19.5,0,0,0,0,0,0,9,14,21,15,3,18,29,11,39,0,9,9,0,0,0,32,12,47,363,356,726,120,153,270,263,264,519,170,194,364
LGA30300,1937,1855,3795,950,539,1492,157,404,561,81,88,174,59,42,103,1253,1077,2333,494,623,1118,4.9,3.9,4.4,64.8,58,61.4,61.6,55.7,58.7,21,42,62,13,45,54,118,260,378,98,167,259,425,220,647,19,36,51,34,25,61,478,277,759,1801,1705,3508,308,351,661,1256,1129,2384,743,805,1548
LGA30370,7201,5781,12981,3579,1690,5272,493,1313,1800,383,240,620,112,84,199,4565,3334,7893,1217,1662,2882,2.5,2.6,2.5,63.4,57.6,60.8,61.8,56.1,59.3,81,75,155,30,96,121,326,652,981,287,402,691,1873,855,2732,94,101,189,87,86,174,2064,1035,3098,5977,5206,11188,1035,1052,2085,4175,3551,7726,2459,2317,4773
LGA30410,1472,1457,2927,643,420,1068,108,245,352,52,76,126,14,20,34,824,759,1581,503,571,1075,1.7,2.5,2.1,55.8,52,53.9,54.9,50.7,52.8,25,25,49,16,35,50,85,177,263,69,117,184,392,193,586,15,29,44,21,29,48,427,251,676,1321,1281,2605,223,240,467,959,940,1901,507,519,1028
LGA30450,232,217,451,96,68,168,8,33,36,12,17,24,4,5,6,118,115,235,75,60,135,2.5,3.4,2.9,51.5,54.1,52.8,50.2,52.3,51.2,0,8,13,4,0,4,10,33,43,13,17,29,67,24,92,3,6,6,10,0,10,75,33,108,178,161,333,38,37,69,133,109,242,82,81,156
LGA30760,943,911,1850,406,274,679,68,191,256,38,26,60,15,12,24,527,499,1022,312,329,639,2.7,2.4,2.5,55.7,54.8,55.3,54.2,53.5,53.9,5,11,15,4,23,24,38,102,142,66,74,142,193,109,303,13,19,23,11,18,30,215,147,365,838,789,1621,145,162,309,605,564,1169,321,345,661
LGA30900,273,225,497,123,90,207,6,18,24,19,17,35,5,3,7,155,124,278,79,73,143,4.5,3.2,3.9,56.8,55.8,56.3,54.2,54,54.1,7,3,9,0,3,3,11,18,29,16,19,35,59,31,90,0,8,13,4,5,12,67,45,110,223,196,425,44,45,87,150,145,297,99,86,183
LGA31000,498475,525755,1024231,234859,162764,397622,75409,127312,202720,24081,35217,59297,19060,15875,34938,353411,341166,694572,122591,162630,285222,5.4,4.7,5,70.9,64.9,67.8,67.1,61.9,64.4,49635,49822,99452,12747,22240,34990,115499,139219,254713,44963,54615,99577,80901,45312,126217,4753,5756,10513,6303,9229,15528,91954,60304,152258,461881,481298,943176,113052,118903,231956,269237,283280,552516,275990,289005,564993
LGA31750,313,168,484,175,72,251,17,19,35,25,13,38,4,0,4,220,111,325,50,49,101,0.9,0,0.6,69.6,64.3,67.7,68.9,64.3,67.3,5,0,6,0,7,4,15,21,40,25,11,40,100,41,137,4,9,11,4,0,0,102,47,149,239,159,395,46,23,77,158,107,262,126,68,193
LGA31820,40832,43369,84201,13528,8965,22494,4645,9089,13741,1283,1431,2714,1653,1231,2882,21114,20711,41829,16998,20011,37008,7.8,5.9,6.9,51.7,47.8,49.7,47.7,44.9,46.2,694,718,1413,354,812,1173,2634,4822,7460,2210,3821,6032,11669,6537,18208,627,913,1540,619,902,1517,12918,8349,21265,37865,39249,77119,7603,8254,15858,25017,25540,50556,18408,20072,38479
LGA31900,7138,7058,14192,3332,1722,5050,600,1664,2263,209,240,454,146,129,279,4289,3755,8052,2168,2721,4887,3.4,3.5,3.5,60.1,53.2,56.7,58.1,51.4,54.7,58,81,133,27,101,128,353,709,1058,305,501,803,2120,955,3071,56,129,187,83,132,218,2259,1214,3478,6650,6441,13090,1039,1104,2146,5011,4757,9771,2302,2471,4769
LGA31950,623,448,1071,167,81,252,31,21,52,76,54,125,11,3,10,280,153,441,158,159,322,2.8,1.3,2.3,44.9,35.1,40.8,43.6,34.7,39.9,13,21,34,8,17,21,39,47,84,32,44,77,165,39,202,10,8,17,4,4,10,172,52,223,408,309,711,80,54,132,285,215,498,183,135,320
LGA32080,68015,71752,139763,26978,19388,46375,9753,18231,27988,2602,2942,5542,2744,2215,4961,42082,42784,84863,18369,21949,40313,6.5,5.2,5.8,61.9,59.6,60.7,57.8,56.5,57.2,2133,2868,4999,941,2055,2996,6980,11628,18603,5591,7993,13581,17951,9990,27939,942,1208,2152,972,1389,2360,19871,12579,32450,61007,63298,124309,13794,15066,28859,37537,38270,75806,33308,36314,69626
LGA32250,1648,1340,2994,517,314,830,66,128,192,148,126,275,41,30,73,771,593,1369,707,644,1344,5.7,5.2,5.5,46.9,44.3,45.8,44.3,42,43.3,29,25,49,16,33,56,83,151,228,105,119,221,456,162,623,14,29,43,25,27,49,497,221,719,1406,1207,2610,271,256,525,1015,853,1875,578,533,1106
LGA32260,13268,12909,26175,4724,2601,7324,1432,2859,4291,592,513,1104,412,346,756,7149,6313,13469,4831,5400,10226,5.7,5.4,5.6,53.9,48.9,51.5,50.8,46.3,48.6,191,261,449,117,241,353,770,1315,2083,749,1217,1970,3661,1747,5413,142,243,382,176,229,407,3975,2219,6198,12126,11671,23794,2126,2110,4235,8493,8156,16650,4995,4982,9977
LGA32270,14271,11066,25337,7185,3480,10667,1054,2618,3670,636,521,1159,292,223,514,9166,6845,16012,2082,2935,5021,3.2,3.3,3.2,64.2,61.9,63.2,62.2,59.8,61.2,173,220,390,103,234,340,707,1372,2079,673,936,1610,4056,1639,5700,192,246,445,183,190,373,4435,2077,6512,11375,10040,21418,2667,2542,5210,6889,5812,12697,6330,5920,12250
LGA32310,5498,5304,10804,1959,1332,3295,416,931,1345,237,220,458,164,133,290,2778,2611,5394,1752,1996,3744,5.8,5,5.4,50.6,49.3,49.9,47.6,46.8,47.2,83,89,177,57,99,158,250,516,766,204,398,600,1330,652,1982,70,95,165,54,76,131,1454,824,2276,4664,4629,9296,857,918,1776,3266,3150,6415,1987,2164,4151
LGA32330,336,414,747,57,60,114,21,33,56,3,8,13,24,17,43,104,114,227,220,286,506,23.4,16.2,19.6,32,28.3,29.9,24.6,23.7,24.1,0,0,0,0,5,9,6,5,8,10,26,33,54,51,105,5,17,22,16,10,30,77,77,154,508,542,1048,37,44,83,371,393,761,113,135,242
LGA32450,2955,1878,4838,1289,564,1854,165,206,372,232,132,362,49,29,87,1737,933,2671,553,606,1150,3,3.4,3.1,58.8,49.7,55.2,57,48,53.5,43,33,74,20,37,54,177,225,402,137,152,289,869,237,1110,19,34,55,33,28,63,923,301,1228,2072,1432,3501,526,402,933,1344,939,2284,1127,783,1908
LGA32500,3479,2798,6276,838,604,1440,279,349,629,353,319,669,85,64,147,1556,1331,2887,1163,971,2131,5.6,4.6,5.1,44.8,47.5,46,42.3,45.3,43.7,74,87,164,34,81,112,236,426,660,235,282,515,915,369,1280,42,52,92,63,57,122,1016,480,1488,2540,2132,4674,578,548,1131,1779,1435,3213,1207,1129,2336
LGA32600,204,158,363,78,40,122,6,19,29,15,14,28,5,7,11,106,83,187,74,58,136,2.8,6.3,4.3,52.2,50.3,51.4,50.7,47.2,49.2,4,0,4,3,7,8,13,21,29,18,17,36,55,26,71,0,0,0,0,5,9,54,30,82,173,149,321,23,27,55,124,101,229,63,61,124
LGA32750,205,166,374,94,69,158,8,10,21,19,15,38,3,9,8,122,107,225,44,39,82,1.6,4.9,3.1,60.7,62,61.3,59.7,59,59.4,7,8,17,0,4,7,10,24,38,19,20,39,45,17,67,0,3,5,4,3,6,56,28,79,131,99,232,52,55,112,87,61,148,86,93,184
LGA32770,503,511,1015,84,71,157,33,49,89,8,9,17,24,26,51,156,155,312,302,334,640,16.1,15.5,15.8,30.9,30.2,30.5,25.9,25.5,25.7,8,9,12,6,10,8,22,27,50,6,13,20,68,47,114,3,12,17,0,3,6,74,64,135,607,591,1194,77,95,172,449,438,882,146,173,319
LGA32810,6789,6731,13517,1910,1236,3148,1000,1699,2701,422,412,839,175,128,307,3504,3480,6983,2284,2306,4597,5,3.7,4.4,51.7,51.7,51.7,49.1,49.8,49.4,208,238,442,80,182,256,759,1017,1778,495,744,1242,1789,804,2598,65,111,179,120,153,275,1977,1071,3053,5331,5199,10530,1332,1399,2727,3651,3452,7103,2770,2910,5686
LGA33100,744,654,1397,222,128,349,37,68,105,73,75,151,7,8,14,343,276,615,313,306,611,2.6,1.8,2.3,46,42.2,44.2,44.8,41.4,43.2,23,17,43,10,19,27,68,78,142,51,64,114,204,90,298,3,7,9,14,13,29,223,114,331,614,518,1134,106,113,222,453,389,837,235,231,463
LGA33200,810,764,1573,329,233,565,60,101,162,44,41,89,13,10,21,448,390,839,204,254,462,2.4,2.3,2.4,55.7,50.8,53.3,54.4,49.6,52.1,15,13,29,0,14,17,40,95,138,31,53,89,199,82,281,9,9,19,10,19,24,215,112,325,650,631,1276,122,134,253,484,445,929,239,278,515
LGA33220,46457,49536,95996,12110,8294,20403,4849,9595,14447,1431,1621,3051,2015,1516,3532,20403,21030,41433,23089,25386,48469,9.9,7.2,8.5,43.9,42.5,43.2,39.6,39.4,39.5,771,963,1733,425,936,1363,2627,5074,7704,3069,4756,7821,13777,7885,21665,677,959,1634,748,1111,1861,15199,9965,25165,41878,44370,86248,8503,9323,17828,26318,27229,53545,21953,24438,46391
LGA33360,26207,25259,51464,11970,6129,18099,2512,6204,8714,1145,989,2127,1258,1052,2311,16881,14370,31252,7075,9231,16301,7.4,7.3,7.4,64.4,56.9,60.7,59.6,52.7,56.2,436,505,941,269,497,764,1729,2989,4716,1501,2103,3607,9081,4396,13475,424,633,1055,349,481,829,9849,5507,15359,24862,23995,48860,5310,5586,10895,16018,14907,30926,12388,12997,25381
LGA33430,246964,270431,517393,101097,64598,165691,38470,69418,107885,12395,18546,30942,9358,8101,17457,161318,160653,321977,69467,92384,161855,5.8,5,5.4,65.3,59.4,62.2,61.5,56.4,58.9,11156,12660,23814,3315,7031,10342,32346,46426,78771,23373,35223,58595,62367,34435,96802,2518,3634,6158,4221,6703,10926,69102,44778,113878,227805,241860,469667,54418,59802,114218,128497,135747,264240,138742,151916,290661
LGA33610,4191,4136,8327,2083,1137,3224,402,1007,1408,151,137,292,93,90,182,2729,2362,5092,1054,1421,2470,3.4,3.6,3.5,65.1,57.1,61.2,62.9,55,59,53,66,122,28,73,104,264,567,826,251,335,588,972,577,1548,38,56,95,68,64,125,1070,696,1771,3953,3916,7871,737,781,1516,2728,2581,5306,1696,1822,3517
LGA33620,21828,22755,44582,6884,3875,10753,2589,5333,7917,854,831,1680,699,600,1293,11016,10635,21651,9257,10673,19931,6.3,5.6,6,50.5,46.7,48.6,47.3,44.1,45.7,276,375,645,178,435,614,1178,2262,3445,1293,2280,3575,6520,3804,10318,360,504,865,375,532,911,7252,4845,12094,20468,20927,41392,3816,4135,7957,13185,13118,26305,9986,10867,20853
LGA33800,5029,4873,9903,1943,965,2915,389,1073,1461,200,165,367,122,84,206,2659,2283,4941,1936,2197,4138,4.7,3.5,4.1,52.9,46.9,49.9,50.4,45.2,47.8,53,73,128,28,59,92,233,457,689,217,353,567,1630,688,2316,67,73,137,57,87,141,1753,838,2592,4697,4540,9237,659,628,1295,3654,3470,7123,1500,1515,3012
LGA33830,366,335,703,107,64,170,30,36,60,14,16,25,35,29,64,180,136,319,165,181,345,19.3,19.6,19.4,49.1,41.2,45.3,39.6,33.1,36.5,4,0,7,0,6,4,11,26,34,9,24,35,124,63,183,9,10,14,5,9,18,134,75,210,465,400,867,28,33,57,369,299,664,56,61,116
LGA33960,84595,89721,174318,38794,24966,63758,10303,19802,30107,3941,5780,9722,3938,3555,7493,56976,54106,111078,22760,30635,53397,6.9,6.6,6.7,67.4,60.3,63.7,62.7,56.3,59.4,2400,2773,5172,917,2157,3069,7031,11755,18783,6700,10020,16717,23065,15099,38165,1428,2010,3434,1326,1920,3246,25822,19030,44844,84933,87906,172842,18620,20064,38684,47085,47931,95016,49120,53022,102141
LGA33980,18594,9481,28079,7619,3184,10802,740,1648,2390,663,410,1078,125,146,275,9157,5394,14548,1210,1784,2995,1.4,2.8,1.9,49.2,56.9,51.8,48.6,55.3,50.8,180,149,327,89,140,231,751,947,1697,630,657,1291,4308,1433,5740,129,195,321,124,166,288,4569,1785,6352,10020,6976,16992,2400,2084,4487,5805,3638,9437,5920,4821,10738
LGA34420,361,409,770,68,45,116,21,30,53,6,11,22,57,73,128,156,161,319,133,171,302,35.9,44.1,40.1,43.5,39.1,41.1,27.9,21.8,24.6,4,3,3,0,0,0,8,18,27,8,4,11,50,30,83,17,17,36,8,3,10,74,54,128,422,451,882,25,23,44,349,377,733,45,45,88
LGA34530,16281,16429,32710,6270,3974,10245,1628,4011,5638,671,772,1443,441,367,813,9009,9121,18136,6105,6200,12298,4.9,4,4.5,55.3,55.5,55.4,52.6,53.3,53,305,431,736,196,419,620,1154,2284,3435,996,1543,2543,5017,2380,7392,178,291,472,261,333,593,5458,3000,8455,14920,15212,30132,2864,3098,5966,9783,9783,19564,7099,7733,14824
LGA34570,242,239,476,75,40,111,16,26,42,13,3,19,48,40,88,153,107,262,58,96,152,32,35.8,33.6,64,46,55,43.5,29.5,36.6,3,4,9,0,8,7,4,18,23,8,4,13,29,7,36,6,6,14,0,0,6,35,11,54,269,230,501,31,30,65,205,189,400,59,46,107
LGA34580,15849,16926,32778,6533,3885,10414,1879,3819,5698,681,954,1640,539,462,1002,9633,9122,18757,5141,6763,11903,5.6,5.1,5.3,60.8,53.9,57.2,57.4,51.2,54.2,292,366,663,120,298,418,946,1857,2798,951,1649,2598,4441,2660,7104,233,404,639,245,357,608,4923,3417,8341,15760,15843,31601,2783,3052,5840,10159,10019,20182,7303,7967,15270
LGA34590,129099,135929,265025,56983,33680,90661,16432,30077,46505,5583,7782,13366,6021,5423,11442,85021,76961,161979,35634,50221,85855,7.1,7,7.1,65.9,56.6,61.1,61.2,52.6,56.8,3114,3701,6810,1078,2696,3781,9916,16001,25913,9147,15105,24255,35198,21434,56630,1870,2705,4579,2067,3108,5175,39135,27255,66387,130569,134509,265073,25066,26253,51317,78407,79812,158222,66655,70863,137518
LGA34710,1743,1818,3565,778,628,1407,138,349,489,99,82,179,15,15,39,1032,1077,2111,499,535,1036,1.7,1.8,1.8,59.2,59.3,59.3,58.2,58.3,58.2,30,37,73,19,62,83,103,257,359,129,168,298,458,265,725,19,41,62,21,31,52,500,334,839,1542,1550,3091,300,355,657,1025,1038,2060,724,783,1510
LGA34770,46925,48750,95676,23641,13661,37306,4401,12537,16936,1916,1887,3804,1337,1144,2476,31289,29234,60520,11578,15687,27258,4.3,3.9,4.1,66.7,60,63.3,63.8,57.6,60.7,798,944,1746,382,976,1360,2894,6101,8989,2455,4188,6647,16113,7620,23733,546,920,1467,598,940,1536,17249,9481,26738,45019,45744,90771,8856,9613,18473,29573,29276,58849,21082,23108,44192
LGA34800,1103,575,1680,424,204,634,29,43,70,47,39,82,4,5,7,499,297,795,115,122,231,0.8,1.4,1,45.4,51.1,47.4,45,50.4,46.9,4,6,8,7,8,17,44,74,114,29,42,73,265,70,332,6,11,13,12,8,11,278,87,367,554,372,924,121,107,226,377,250,624,274,205,482
LGA34830,177,164,341,44,34,72,11,15,26,9,10,18,18,19,36,80,71,154,58,71,132,25.6,22.5,24.2,46.6,43,44.9,34.7,33.3,34,0,0,3,0,0,0,0,8,10,6,11,22,46,30,78,17,12,30,0,0,3,67,52,111,167,167,337,31,36,66,124,122,244,51,53,106
LGA34860,5792,5375,11169,3026,1832,4858,452,1147,1601,288,251,539,88,83,166,3857,3301,7159,1165,1460,2632,2.2,2.4,2.3,66.5,61.5,64.1,65.1,60,62.6,77,115,189,42,114,157,339,689,1029,325,477,803,1545,804,2346,77,109,184,98,96,192,1720,1008,2723,5176,4816,9992,1022,1046,2063,3486,3137,6615,2341,2386,4726
LGA34880,10432,9378,19809,3249,2132,5381,1004,2013,3013,407,348,754,320,263,585,4976,4760,9738,4405,3628,8031,6.5,5.5,6,47.7,50.8,49.2,44.6,48,46.2,160,233,392,78,172,253,645,1178,1822,606,942,1551,2508,1186,3690,88,145,236,136,155,290,2735,1483,4217,8568,8480,17040,1390,1454,2847,5889,5852,11745,3492,3635,7126
LGA35010,180536,196150,376685,78095,48705,126801,22984,46763,69745,8168,12443,20613,7094,5984,13076,116342,113900,230243,56561,73958,130521,6.1,5.3,5.7,64.4,58.1,61.1,60.5,55,57.7,5312,5980,11294,2433,5233,7663,17547,28322,45866,15775,23533,39309,51352,31190,82543,2453,3596,6045,3098,4734,7833,56904,39522,96420,181095,191062,372159,34684,38204,72891,109227,113348,222574,93974,104067,198041
